complaint_id,citizen_id,complaint_text,department,resolution_time_days
5254,1793,Building permit application pending for more than 3 months,Urban Administration,12
5649,1182,Environmental tribunal complaint ignored completely,Judicial & Legal Services,10
5860,1466,District hospital mein X-ray machine kharab hai 2 weeks,Public Health & Relief,28
5497,1024,Social audit of welfare scheme not conducted in 1 year,Social Welfare Department,18
5072,1788,meri dadi ki zameen ka naam change nahi hua hai abhi tak,Revenue Department,10
5325,1746,Board exam center changed without proper student notice,Education Department,4
5768,1440,Agriculture extension officer kabhi bhi gaon nahi aata,Agriculture & Forestry,23
5445,1700,Foster care application pending for over 4 months now,Social Welfare Department,10
5713,1790,Vermi compost unit scheme laabh nahi mila registered farmer,Agriculture & Forestry,40
5522,1598,Cable TV operator license objection nahi suni gayi,Licensing & Regulatory Services,25
5214,1991,"illegal construction ho rahi hai, nagar palika action nahi",Urban Administration,3
5336,1999,Exam fee submitted but admit card not issued in time,Education Department,9
5780,1896,Warehouse receipt scheme nahi chal raha local area mein,Agriculture & Forestry,42
5613,1967,Maintenance case hearing postponed 5 times consecutively,Judicial & Legal Services,39
5563,1292,Printing press license renewal delayed by 4 months,Licensing & Regulatory Services,35
5738,1086,Mushroom cultivation training nahi hua in tribal area,Agriculture & Forestry,12
5306,1470,Principal ne private tuition force kiya students ko,Education Department,3
5135,1350,Toilet construction stopped midway under ODF scheme,Panchayat Department,24
5777,1885,Pashu doctor kabhi bhi available nahi hota hamara area,Agriculture & Forestry,45
5248,1289,"Cable wire hanging low near market, dangerous for traffic",Urban Administration,8
5144,1948,panchayat samiti ke baithak mein minority nahi hoti,Panchayat Department,17
5714,1119,Forest rights patta nahi mila tribal adivasi ko,Agriculture & Forestry,15
5756,1262,Beej vitran mein biij ki quality bahut kharab thi,Agriculture & Forestry,37
5835,1849,Flood relief camp mein hi pandemic breakout ho gaya,Public Health & Relief,35
5444,1239,Scholarship for ST girl stopped mid-year without notice,Social Welfare Department,15
5625,1515,Arbitration tribunal ne date nahi di 2 mahine mein,Judicial & Legal Services,18
5801,1721,Primary health center closed during emergency situation,Public Health & Relief,27
5324,1416,Beti Bachao yojana event nahi hua in our school at all,Education Department,29
5275,1856,Road marking and signage absent at busy intersection,Urban Administration,36
5347,1525,koi bhi teacher NCC activities nahi karvata school mein,Education Department,29
5315,1769,"Library books not available in school, only empty racks",Education Department,44
5514,1469,pollution control board certificate nahi mila factory ko,Licensing & Regulatory Services,17
5164,1992,PM Awas yojana list mein naam hote hue bhi ghar nahi mila,Panchayat Department,36
5890,1609,Ayushman bharosa yojana rejection without valid ground,Public Health & Relief,43
5490,1039,Maternity benefit under PMMVY nahi mila dusri baar bhi,Social Welfare Department,17
5542,1577,Medical store license inspection not done in 2 months,Licensing & Regulatory Services,25
5422,1154,Women self help group loan nahi mila 6 mahine se pending,Social Welfare Department,37
5869,1538,Disability relief support not given to earthquake victim,Public Health & Relief,43
5344,1500,mujhe right school nahi mila despite Padhna Likhna Scheme,Education Department,36
5399,1751,Parent complaint about corporal punishment in school,Education Department,27
5062,1146,Land encroachment complaint filed but no action taken yet,Revenue Department,36
5592,1508,Medical store license inspection not done in 2 months,Licensing & Regulatory Services,9
5161,1156,street light kharab hai 1 mahine se koi nahi aaya,Panchayat Department,34
5700,1012,Labour court judgment execution not done in time,Judicial & Legal Services,9
5230,1433,"Dustbins overflow, garbage spread on street daily",Urban Administration,20
5021,1978,Revenue department ignored my written complaint about boundary,Revenue Department,15
5603,1985,Bail application pending in lower court for 6 weeks,Judicial & Legal Services,39
5582,1644,Inspection officer ne bribe maanga license ke liye,Licensing & Regulatory Services,15
5660,1298,Revenue court judgment copy nahi mili fee dene ke baad,Judicial & Legal Services,27
5795,1441,Agricultural pump electricity subsidy stopped suddenly,Agriculture & Forestry,38
5150,1648,naye born child ka panchayat registration nahi ho raha,Panchayat Department,23
5427,1144,"Old widow has no family, not receiving any government help",Social Welfare Department,17
5383,1773,Class 9 science teacher not available since October,Education Department,12
5401,1089,vridha pension band ho gayi pichle 3 mahine se,Social Welfare Department,30
5382,1342,Disabled student ko wheelchair accessible classroom nahi,Education Department,11
5377,1278,Poor quality notebooks distributed under free scheme,Education Department,34
5190,1644,Solar street lights not working in ward 3 since 2 weeks,Panchayat Department,19
5168,1708,"Water pipeline broken near ward 5, no repair done yet",Panchayat Department,9
5114,1106,PM Awas yojana list mein naam hote hue bhi ghar nahi mila,Panchayat Department,10
5439,1671,Welfare department ki website access nahi ho rahi baar baar,Social Welfare Department,16
5788,1595,Mushroom cultivation training nahi hua in tribal area,Agriculture & Forestry,11
5189,1836,Village common land encroached by local influential person,Panchayat Department,36
5068,1761,Income certificate application rejected without proper reason,Revenue Department,20
5418,1199,Transgender welfare scheme amount nahi aaya 4 mahine se,Social Welfare Department,11
5231,1932,Road repair in rainy season done with poor quality material,Urban Administration,35
5207,1142,"Colony ki road poori tarah toot gayi hai, repair nahi",Urban Administration,8
5800,1903,MIDH scheme greenhouse subsidy application pending months,Agriculture & Forestry,40
5432,1037,Scheme for acid attack survivors not implemented here,Social Welfare Department,17
5882,1397,Snakebite antivenom not available at nearest hospital,Public Health & Relief,11
5564,1463,pollution control board certificate nahi mila factory ko,Licensing & Regulatory Services,20
5699,1198,Environmental tribunal complaint ignored completely,Judicial & Legal Services,36
5206,1338,Municipal tax receipt not given after payment at counter,Urban Administration,21
5576,1766,Vehicle transport permit renewal delayed by 2 months,Licensing & Regulatory Services,31
5277,1983,Nagar Palika ne water bill bheja but supply koi nahi,Urban Administration,5
5533,1248,Motor garage registration pending at municipal office,Licensing & Regulatory Services,31
5435,1845,Juvenile justice board ne case 4 mahine mein nahi dekha,Social Welfare Department,6
5215,1115,Street light complaint lodged 5 times but no response,Urban Administration,29
5357,1689,Result correction request pending for 3 months at board,Education Department,30
5634,1765,Fast track court hearing postponed due to judge absence,Judicial & Legal Services,23
5351,1038,scholarship amount abhi tak nahi mila 4 mahine ho gaye,Education Department,34
5052,1301,meri zameen ka patta abhi tak nahi bana hai,Revenue Department,21
5667,1471,Vakil ne paisa le liya lekin court nahi gaya puri taraf,Judicial & Legal Services,30
5771,1121,Cattle insurance claim pending 4 mahine se,Agriculture & Forestry,38
5327,1441,Poor quality notebooks distributed under free scheme,Education Department,26
5128,1881,soak pit construction incomplete under swachh bharat mission,Panchayat Department,15
5553,1017,Arms license renewal rejected bina kisi reason ke bataye,Licensing & Regulatory Services,45
5726,1505,Rubber plantation scheme laabh nahi mila tribal community,Agriculture & Forestry,7
5608,1553,District legal aid officer office mein hamesha absent,Judicial & Legal Services,31
5276,1887,water supply timing changed bina public notice ke,Urban Administration,32
5499,1609,Caretaker at old age home behaving rudely with residents,Social Welfare Department,35
5782,1949,Fishery department ne naav ke liye subsidy deny kar diya,Agriculture & Forestry,17
5334,1413,Free bicycle yojana ka cycle nahi mila abhi tak mujhe,Education Department,45
5179,1199,"Tree fell on village road, panchayat not clearing it",Panchayat Department,19
5263,1588,"pani ki line fati hui hai, road ke neeche se roz roz",Urban Administration,38
5109,1493,Gram Sabha mein hue nirnay implement nahi ho rahe,Panchayat Department,28
5853,1636,Ambulance service call pe response nahi aaya,Public Health & Relief,25
5246,1895,pothole on main road causing accidents since 3 weeks,Urban Administration,39
5194,1035,panchayat samiti ke baithak mein minority nahi hoti,Panchayat Department,3
5257,1219,"Colony ki road poori tarah toot gayi hai, repair nahi",Urban Administration,33
5394,1229,mujhe right school nahi mila despite Padhna Likhna Scheme,Education Department,18
5671,1437,Summons not served to defendant despite court order,Judicial & Legal Services,8
5470,1746,Poshan tracker app pe mera data update nahi ho raha,Social Welfare Department,12
5893,1048,Malnutrition ward at district hospital understaffed badly,Public Health & Relief,10
5844,1937,Rogi kalyan samiti meeting nahi hui 6 mahine se,Public Health & Relief,25
5033,1252,Farmer certificate reject kar diya bina proper explanation ke,Revenue Department,11
5583,1681,Motor garage registration pending at municipal office,Licensing & Regulatory Services,33
5457,1225,BPL survey mein hamara naam galti se hata diya gaya,Social Welfare Department,31
5209,1863,"parking problem near hospital, koi solution nahi mila",Urban Administration,25
5501,1845,Trade license renewal pending at counter for 6 weeks,Licensing & Regulatory Services,29
5301,1994,scholarship amount abhi tak nahi mila 4 mahine ho gaye,Education Department,14
5545,1446,Vehicle dealer license renewal taking 3 months to process,Licensing & Regulatory Services,45
5003,1847,Property tax demand notice galat amount pe aaya hai,Revenue Department,34
5857,1869,Blood bank mein blood nahi tha emergency mein,Public Health & Relief,15
5358,1504,College admission denied despite qualifying marks obtained,Education Department,22
5502,1988,Food stall ka FSSAI license nahi mila 4 mahine ho gaye,Licensing & Regulatory Services,25
5354,1241,"Textbooks distributed late, students suffered 2 months",Education Department,20
5239,1129,nagarpalika ne ghar ghar suction nahi kiya mahino se,Urban Administration,42
5342,1458,School canteen se basi khana de rahe hain bachon ko,Education Department,5
5360,1886,Transfer certificate nahi mil raha school se,Education Department,29
5520,1439,Seed dealer license renewal rejected without proper cause,Licensing & Regulatory Services,18
5060,1861,"Tehsildar office ne document leke rakh liya, wapas nahi diya",Revenue Department,39
5366,1690,"Merit list wrong hai, mera naam nahi aaya sahi score pe",Education Department,20
5723,1449,Krishi vigyan kendra ne training session cancel kar diya,Agriculture & Forestry,8
5474,1811,Disability pension amount reduced without intimation given,Social Welfare Department,17
5597,1111,Meat shop license renewal stuck in red tape for months,Licensing & Regulatory Services,3
5352,1820,"School mein teacher nahi aate, 3 posts khali hain",Education Department,5
5101,1237,gram panchayat mein sarpanch funds ka misuse kar raha hai,Panchayat Department,34
5807,1353,Blood bank mein blood nahi tha emergency mein,Public Health & Relief,13
5832,1031,Snakebite antivenom not available at nearest hospital,Public Health & Relief,28
5616,1448,"Case documents lost by court staff, no acknowledgment",Judicial & Legal Services,25
5430,1769,NGO ki fake scheme chalai ja rahi hai social welfare ke naam pe,Social Welfare Department,40
5241,1672,Footpath under bridge occupied by illegal shops,Urban Administration,24
5590,1687,Cold storage license renewal pending at FCI office,Licensing & Regulatory Services,4
5529,1391,DG set installation NOC not given despite application,Licensing & Regulatory Services,13
5082,1931,Revenue case No. 47 sunwai date miss ho gayi bina notice ke,Revenue Department,16
5589,1806,Private security agency license renewal delayed months,Licensing & Regulatory Services,42
5751,1959,Crop damage compensation abhi tak nahi mila 5 mahine se,Agriculture & Forestry,33
5410,1205,Orphan child support scheme nahi mili family ko,Social Welfare Department,33
5436,1008,Welfare hostel mein paani aur bijli ki kami hai,Social Welfare Department,37
5261,1881,Street encroachment by vendors not being managed by UMC,Urban Administration,28
5703,1877,Fertilizer not available at cooperative society this season,Agriculture & Forestry,21
5623,1608,Land acquisition compensation dispute case very slow,Judicial & Legal Services,36
5896,1860,Free medicine scheme se galat generic brand diya gaya,Public Health & Relief,34
5690,1135,Legal notice sent but no reply from opposite party,Judicial & Legal Services,37
5157,1872,panchayat secretary ne attendance register bhara nahi,Panchayat Department,8
5385,1448,Merit scholarship list mein favored students ke naam,Education Department,14
5843,1653,Malnutrition ward at district hospital understaffed badly,Public Health & Relief,37
5577,1213,Pharma store license inspection pending since 3 months,Licensing & Regulatory Services,12
5879,1981,Eye camp cancelled last minute without informing patients,Public Health & Relief,27
5425,1164,Nutritious food kit not delivered to malnourished child,Social Welfare Department,36
5024,1881,"agricultural land conversion fee deposited, no receipt given",Revenue Department,16
5480,1645,NGO ki fake scheme chalai ja rahi hai social welfare ke naam pe,Social Welfare Department,31
5343,1831,Annual sports event cancelled without any reason stated,Education Department,18
5888,1277,Water purification tablet kit nahi diya flood area mein,Public Health & Relief,28
5694,1528,Complaint about corrupt judicial process not registered,Judicial & Legal Services,23
5481,1203,Mental health patient ko proper housing nahi mila welfare se,Social Welfare Department,44
5617,1941,Vakil ne paisa le liya lekin court nahi gaya puri taraf,Judicial & Legal Services,8
5199,1591,Sarpanch ignoring complaints about illegal construction,Panchayat Department,24
5899,1046,"Cardiac patient ke liye referral delay hua, patient serious",Public Health & Relief,13
5417,1615,Sanitation worker corona relief amount nahi mili abhi tak,Social Welfare Department,16
5326,1152,District education officer ne complaint acknowledge nahi ki,Education Department,37
5433,1830,meri maa ka pension application 8 mahine se pending hai,Social Welfare Department,17
5646,1367,"mujhe district judge se milna tha, appointment nahi mili",Judicial & Legal Services,19
5631,1634,Domestic violence protection order not enforced by police,Judicial & Legal Services,16
5196,1177,Labour card renewal request pending for over 2 months,Panchayat Department,34
5014,1983,Mutation entry gaon ke bahar wali zameen pe galat ho gayi,Revenue Department,44
5806,1368,Malaria spray nahi kiya hamara area mein is monsoon,Public Health & Relief,4
5367,1832,PTM ek baar bhi nahi ki school ne pichle saal mein,Education Department,24
5247,1309,Ward level meeting not conducted in over 6 months,Urban Administration,38
5176,1333,Electricity connection to panchayat office disconnected,Panchayat Department,43
5677,1716,Copies of judgment not available from office counter,Judicial & Legal Services,23
5293,1469,"Drains blocked before monsoon arrival, no prior cleaning",Urban Administration,26
5871,1481,Relief fund cheque bounced after flood disaster,Public Health & Relief,21
5322,1062,"Girls toilet in school locked, key with principal only",Education Department,42
5160,1659,nali ka nirman ghatiya material se kiya gaya hai gaon mein,Panchayat Department,11
5467,1303,Sanitation worker corona relief amount nahi mili abhi tak,Social Welfare Department,26
5379,1359,"School has no electricity, students sit in dark classes",Education Department,3
5805,1050,Aayushman card se treatment deny kar diya hospital ne,Public Health & Relief,21
5355,1517,"School building mein toilet nahi hai, girls affected",Education Department,20
5197,1951,"Gram panchayat ka noticeboard blank, koi suchna nahi",Panchayat Department,39
5050,1346,zameen registration ke time extra charge liya gaya hai mujhse,Revenue Department,37
5609,1787,My motor accident claim case not heard for 3 hearings,Judicial & Legal Services,38
5704,1831,Crop insurance claim rejected without proper explanation,Agriculture & Forestry,25
5002,1354,meri zameen ka patta abhi tak nahi bana hai,Revenue Department,6
5045,1431,patta milne ke baad bhi record update nahi hua gaon mein,Revenue Department,15
5725,1815,"Paani ke liye nalkoop on private land, subsidy nahi mili",Agriculture & Forestry,45
5618,1567,Family court ne notice nahi bheja dusri party ko,Judicial & Legal Services,15
5551,1055,Trade license renewal pending at counter for 6 weeks,Licensing & Regulatory Services,12
5482,1993,Scheme for acid attack survivors not implemented here,Social Welfare Department,41
5521,1146,Water tanker operator permit not given in time by RTO,Licensing & Regulatory Services,38
5687,1534,Electronic case filing portal not accessible regularly,Judicial & Legal Services,41
5872,1689,"Lab report mein galti hai, wrong diagnosis ho gaya",Public Health & Relief,27
5434,1735,Child labor complaint made but no action taken by dept,Social Welfare Department,33
5129,1899,"Tree fell on village road, panchayat not clearing it",Panchayat Department,27
5711,1613,Crop survey nahi hua for flood damaged field area,Agriculture & Forestry,21
5431,1213,Mental health patient ko proper housing nahi mila welfare se,Social Welfare Department,9
5692,1411,Session court ne stay order nahi diya urgency mein,Judicial & Legal Services,3
5145,1512,"Nalaa cleaning not done before monsoon, flooding expected",Panchayat Department,31
5591,1614,Waste dealer permit not issued on time by municipality,Licensing & Regulatory Services,15
5880,1087,Dental treatment not available at primary health center,Public Health & Relief,10
5661,1438,Lok adalat settlement nahi hua despite both parties there,Judicial & Legal Services,3
5466,1643,SC family ke bacho ko free coaching nahi mili is saal,Social Welfare Department,27
5579,1312,DG set installation NOC not given despite application,Licensing & Regulatory Services,31
5600,1835,Slaughter license renewal application missing from records,Licensing & Regulatory Services,18
5313,1954,School water tank not cleaned since past 6 months,Education Department,9
5115,1768,Drain blocked near school compound for over 3 weeks now,Panchayat Department,20
5573,1562,School registration certificate renewal delayed 6 months,Licensing & Regulatory Services,36
5039,1536,tahsil ne mujhe galat counter pe bhej diya baar baar,Revenue Department,3
5456,1276,Senior citizen ID card nahi mila apply karne ke baad,Social Welfare Department,32
5017,1996,domicile certificate ke liye pareshaan ho raha hoon weeks se,Revenue Department,45
